ID,Author(s),Blog Post,Publish Date,Blog Site
1,T. Mills Kelly,History Spaces,1/7/14,http://edwired.org/2014/01/01/history-spaces/
2,Mark Sample,Digital Humanities at MLA 2014,1/8/14,http://www.samplereality.com/2013/09/19/digital-humanities-at-mla-2014/
3,Bethany Nowviskie,"On the Origin of ""Hack"" and ""Yack""",1/9/14,http://nowviskie.org/2014/on-the-origin-of-hack-and-yack/
4,Elijah Meeks,Geographics,1/9/14,https://digitalhumanities.stanford.edu/geographics
5,Roger Whitson,How to Theorize with a Hammer and an Oven: Steampunk & Critical Making,1/14/14,http://www.rogerwhitson.net/?p=2659
6,Shannon Christine Mattern,INTERFACE CRITIQUE,1/16/14,http://www.wordsinspace.net/wordpress/2014/01/10/interface-critique/
7,Jonathan Stray,Algorithms are not enough: lessons bringing computer science to journalism,1/16/14,http://overview.ap.org/blog/2014/01/algorithms-are-not-enough-lessons-bringing-computer-science-to-journalism/
8,Joan Fragaszy Troyano,TWO YEARS OF THE JOURNAL OF DIGITAL HUMANITIES,1/21/14,http://pressforward.org/2014/01/two-years-of-the-journal-of-digital-humanities/
9,"Katharine Hering, Michael Kramer, Joshua Sternfeld and Kate Theimer",Digital Historiography and the Archives,1/23/14,http://blog.historians.org/2014/01/digital-historiography-archives/
10,Owen Vince,Excavating Age of Empires,1/23/14,http://www.playthepast.org/?p=4353
11,Sarah Werner,"it’s history, not a viral feed",1/28/14,http://sarahwerner.net/blog/2014/01/its-history-not-a-viral-feed/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+WynkenDeWorde+%28Wynken+de+Worde%29
12,Sarah J Biggs,The Height of Fashion,1/28/14,http://feedproxy.google.com/~r/digitisedmanuscripts/~3/WuiZeM1TM1c/the-height-of-fashion.html
13,Trevor Owens,"Interface, Exhibition & Artwork: Geocities, Deleted City and the Future of Interfaces to Digital Collections",1/30/14,http://blogs.loc.gov/digitalpreservation/2014/01/interface-exhibition-artwork-geocities-deleted-city-and-the-future-of-interfaces-to-digital-collections/
14,Shawn Graham,Play the Past E-Book,1/30/14,http://www.playthepast.org/?p=4373
15,Christof Schöch,Topic Modeling French Crime Fiction,2/4/14,http://dragonfly.hypotheses.org/530
16,Eric Hellman,Crowd-Frauding: Why the Internet is Fake,2/4/14,http://go-to-hellman.blogspot.com/2014/02/crowd-frauding-why-internet-is-fake.html
17,Andrew Piper,On Biopoetics: The Evolution of Whitman’s Leaves of Grass,2/6/14,http://literarytopologies.org/?p=250
18,John Resig,Using Computer Vision to Increase the Research Potential of Photo Archives,2/11/14,http://ejohn.org/research/computer-vision-photo-archives/
19,Amanda Visconti,Digital Professionalism for Graduate Students,2/11/14,http://www.literaturegeek.com/digital-professionalism/?utm_source=rss&utm_medium=rss&utm_campaign=digital-professionalism
20,Scott Weingart,Do Historians Need Scientists,2/13/14,http://www.scottbot.net/HIAL/?p=40349
21,Brittany Fiore-Silfvast,Ethnography in Communities of Big Data,2/18/14,http://ethnographymatters.net/2014/02/17/ethnography-in-communities-of-big-data-contested-expectations-for-data-in-the-23andme-and-fda-controversy/
22,Elizabeth Goins,Gone Home and its Hidden Objects,2/18/14,http://explorelostworlds.blogspot.com/2014/02/gone-home-and-its-hidden-objects.html
23,Robin Wharton,Bend Until It Breaks: Digital Humanities and Resistance,2/20/14,http://www.hybridpedagogy.com/journal/literacies/bend-breaks-digital-humanities-resistance/
24,Scott Kleinman,Digital Humanities as Gamified Scholarship,2/25/14,http://scottkleinman.net/blog/2014/02/24/digital-humanities-as-gamified-scholarship/?
25,the Editors,#DHFEEDFEST: HELP DHNOW STAY CURRENT,2/25/14,http://digitalhumanitiesnow.org/2014/02/editors-choice-dhfeedfest-help-dhnow-stay-current/
26,Stuart Dunn,Heritage Gazetteer of Cyprus: evolving thinking,2/27/14,http://stuartdunn.wordpress.com/2014/02/24/heritage-gazetteer-of-cyprus-evolving-thinking/
27,James Baker,"Lessons from science: Digital Humanities, History of Science and Technology, and juking the stats",2/27/14,http://britishlibrary.typepad.co.uk/digital-scholarship/2014/02/digital-humanities-history-of-science-and-technology.html
28,David R. Hussey,Assassins Creed Week,2/27/14,http://www.playthepast.org/?p=4395
29,Cameron Blevins,Still Playing Catch-Up,3/4/14,http://historying.org/2014/03/03/still-playing-catch-up/
